ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
922292,2014-12-22,2014-12-22,Southwest,25,F,H,3600    2ND                          AV,34.0229,-118.3189,Assault,Bodily Harm,Violent Crimes,0.997119214
922526,2014-08-25,2014-08-25,Newton,39,M,W,CENTRAL,34.032,-118.2441,Robbery,Robbery,Violent Crimes,0.991980189
922628,2014-05-19,2014-05-17,Hollywood,49,F,H,VINE                         ST,34.1016,-118.3267,Assault,Bodily Harm,Violent Crimes,0.991392653
922750,2014-06-30,2014-06-29,Southwest,40,M,O,3400 S  LA CIENEGA                   BL,34.0264,-118.3721,Theft,Property Crime,Non-Violent Crimes,0.991518366
922981,2014-07-04,2014-07-03,Olympic,24,M,O,4800    BEVERLY                      BL,34.0763,-118.3135,Theft,Property Crime,Non-Violent Crimes,0.990774474
923023,2014-06-24,2014-06-24,Southeast,51,M,B,300 W  88TH                         ST,33.9574,-118.2782,Theft,Property Crime,Non-Violent Crimes,0.993298095
923210,2014-05-12,2014-05-12,Southeast,29,M,H,FIGUEROA,33.931,-118.2826,Robbery,Robbery,Violent Crimes,0.995129477
923223,2014-05-16,2014-04-27,Harbor,82,F,H,1400 W  221ST                        ST,33.8269,-118.3016,Theft,Property Crime,Non-Violent Crimes,0.995186916
923235,2014-02-01,2014-02-01,West LA,42,M,O,1700    STONER                       AV,34.0408,-118.455,Theft,Property Crime,Non-Violent Crimes,0.996144597
923837,2015-03-11,2014-12-29,West Valley,37,F,W,18200    ARMINTA                      ST,34.2139,-118.5295,Theft,Property Crime,Non-Violent Crimes,0.996632068
923901,2014-07-11,2014-07-03,Newton,24,M,H,4400    TOWNE                        AV,34.0039,-118.2676,Theft,Property Crime,Non-Violent Crimes,0.991168319
923958,2014-12-13,2014-12-13,Hollenbeck,40,F,H,ALHAMBRA,34.0638,-118.2141,Battery Crime,Bodily Harm,Violent Crimes,0.996516349
925280,2014-06-07,2014-06-07,West Valley,16,M,H,VICTORY,34.1866,-118.5273,Robbery,Robbery,Violent Crimes,0.998524656
925372,2014-01-09,2014-01-08,Harbor,69,M,W,1200    SUNSIDE                      ST,33.7403,-118.3021,Theft,Property Crime,Non-Violent Crimes,0.992767587
925482,2014-08-10,2014-08-10,Foothill,67,M,O,6900    DAY                          ST,34.2538,-118.2811,Battery Crime,Bodily Harm,Violent Crimes,0.997798707
925598,2014-01-24,2014-01-23,Southwest,27,M,O,3600 S  VERMONT                      AV,34.0231,-118.2915,Theft,Property Crime,Non-Violent Crimes,0.990398022
926104,2014-11-13,2014-11-06,Pacific,49,M,W,6100 W  CENTURY                      BL,33.9455,-118.3901,Theft,Property Crime,Non-Violent Crimes,0.992299975
926198,2014-10-14,2014-10-13,77th Street,10,F,H,6300    BRYNHURST                    AV,33.9829,-118.3338,Battery Crime,Bodily Harm,Violent Crimes,0.999423073
926270,2014-08-13,2014-08-03,Devonshire,49,M,B,17600    PARTHENIA                    ST,34.2286,-118.5179,Theft,Property Crime,Non-Violent Crimes,0.998891748
