ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
1275498,2016-09-22,2016-09-21,Pacific,34,F,W,00    WAVECREST                    CT,33.9898,-118.4756,Theft,Property Crime,Non-Violent Crimes,0.994757471
1275593,2016-05-11,2016-05-11,77th Street,54,F,B,FIGUEROA,33.9727,-118.2827,Robbery,Robbery,Violent Crimes,0.993717173
1275673,2016-11-09,2016-11-09,Southeast,35,F,B,WALL                         ST,33.9456,-118.2717,Assault,Bodily Harm,Violent Crimes,0.997974318
1275723,2016-05-02,2016-05-01,Mission,55,M,W,9400    BURNET                       AV,34.2411,-118.4632,Theft,Property Crime,Non-Violent Crimes,0.998905678
1275743,2016-02-04,2016-02-03,N Hollywood,22,F,W,11600    KITTRIDGE                    ST,34.1946,-118.3835,Theft,Property Crime,Non-Violent Crimes,0.99829689
1275884,2016-05-03,2016-04-18,Central,55,F,B,600 W  5TH                          ST,34.0502,-118.254,Fraud,White Collar Crime,Non-Violent Crimes,0.992946832
1275916,2016-04-22,2016-04-17,West LA,28,M,W,1300    AMHERST                      AV,34.0422,-118.4669,Theft,Property Crime,Non-Violent Crimes,0.999916632
1275972,2016-04-12,2016-04-12,Van Nuys,28,F,H,14100    ERWIN                        ST,34.1837,-118.44,Assault,Bodily Harm,Violent Crimes,0.995594744
1276358,2016-12-28,2016-06-01,Pacific,46,M,B,3700    MIDVALE                      AV,34.0185,-118.4124,Theft,Property Crime,Non-Violent Crimes,0.995960645
1276639,2016-08-16,2016-08-14,Olympic,32,M,A,NEW HAMPSHIRE                AV,34.056,-118.2929,Theft,Property Crime,Non-Violent Crimes,0.992139184
1277108,2016-10-22,2016-10-22,Van Nuys,23,M,H,15100    VANOWEN                      ST,34.1976,-118.4574,Battery Crime,Bodily Harm,Violent Crimes,0.994305852
1277123,2016-01-23,2016-01-21,Pacific,74,F,W,3200    VETERAN                      AV,34.0268,-118.4216,Theft,Property Crime,Non-Violent Crimes,0.995953913
1277244,2016-03-29,2016-02-18,West LA,78,F,W,1800    PELHAM                       AV,34.0519,-118.4319,Theft,Property Crime,Non-Violent Crimes,0.997934511
1277335,2016-12-29,2016-12-28,Topanga,53,M,O,7000    JUMILLA                      AV,34.1975,-118.5634,Theft,Property Crime,Non-Violent Crimes,0.995743755
1277432,2016-12-22,2016-12-22,77th Street,22,M,H,5000 S  WESTERN                      AV,33.998,-118.3089,Theft,Property Crime,Non-Violent Crimes,0.992750586
1277515,2016-11-10,2016-11-10,Central,50,F,H,700 S  FLOWER                       ST,34.0487,-118.2588,Assault,Bodily Harm,Violent Crimes,0.997459558
1277641,2016-09-20,2016-09-19,77th Street,59,F,H,900 W  80TH                         ST,33.9667,-118.2893,Theft,Property Crime,Non-Violent Crimes,0.993326806
1277928,2016-06-30,2016-06-29,Hollenbeck,21,F,W,DAILY,34.0762,-118.2119,Theft,Property Crime,Non-Violent Crimes,0.991053742
1278461,2016-07-28,2016-07-28,Mission,36,M,O,13100    FOOTHILL                     BL,34.2978,-118.4198,Battery Crime,Bodily Harm,Violent Crimes,0.991662444
1278680,2016-11-22,2016-11-22,Rampart,53,F,H,PICO                         BL,34.0467,-118.2814,Robbery,Robbery,Violent Crimes,0.995303466
1278897,2016-05-15,2016-05-14,Hollywood,33,F,O,HAWTHORNE,34.1006,-118.3417,Theft,Property Crime,Non-Violent Crimes,0.994362177
1278953,2016-04-25,2016-04-25,Newton,41,F,H,900 E  ADAMS                        BL,34.0199,-118.2575,Assault,Bodily Harm,Violent Crimes,0.994258906
1279407,2016-05-03,2016-05-03,Central,35,M,B,600 S  SAN PEDRO                    ST,34.0421,-118.2469,Assault,Bodily Harm,Violent Crimes,0.991738601
1279541,2016-07-18,2016-07-18,Foothill,61,M,O,8800    LAUREL CANYON                BL,34.2251,-118.4039,Theft,Property Crime,Non-Violent Crimes,0.993146377
1279548,2016-02-26,2016-02-26,Devonshire,25,M,H,BALBOA                       BL,34.237,-118.5025,Robbery,Robbery,Violent Crimes,0.996398566
1279594,2016-05-28,2016-05-28,Wilshire,27,M,A,1600    WEST                         BL,34.0461,-118.3347,Theft,Property Crime,Non-Violent Crimes,0.994770881
1279663,2016-05-17,2016-05-16,Mission,46,M,H,14400    CHASE                        ST,34.2248,-118.4469,Theft,Property Crime,Non-Violent Crimes,0.991007433
1279710,2016-02-25,2016-02-25,Devonshire,31,F,W,PARTHENIA                    ST,34.2285,-118.5026,Theft,Property Crime,Non-Violent Crimes,0.99330301
1279776,2016-09-02,2016-09-02,Harbor,56,M,W,1000 S  ALMA                         ST,33.7352,-118.299,Theft,Property Crime,Non-Violent Crimes,0.99218758
1279883,2016-06-26,2016-06-26,N Hollywood,73,M,W,4100    ELMER                        AV,34.1431,-118.3768,Theft,Property Crime,Non-Violent Crimes,0.996319391
1279930,2016-06-18,2016-06-18,Olympic,24,M,O,IROLO                        AV,34.0559,-118.3009,Robbery,Robbery,Violent Crimes,0.992463507
1279955,2016-07-22,2016-04-01,Van Nuys,47,F,W,15000    LEMAY                        ST,34.1921,-118.4597,Theft,Property Crime,Non-Violent Crimes,0.999126892
1280005,2016-03-15,2016-03-15,Wilshire,58,M,W,6300 W  3RD                          ST,34.0712,-118.359,Robbery,Robbery,Violent Crimes,0.997302471
1280064,2016-12-20,2016-12-20,Southwest,23,M,H,5000    RODEO                        RD,34.0215,-118.3524,Theft,Property Crime,Non-Violent Crimes,0.996505047
1280209,2016-04-29,2016-04-28,Olympic,31,M,W,300 S  NORMANDIE                    AV,34.069,-118.3004,Theft,Property Crime,Non-Violent Crimes,0.994520215
1281051,2016-12-08,2016-12-08,77th Street,25,F,H,1200 W  61ST                         ST,33.9842,-118.2958,Fraud,White Collar Crime,Non-Violent Crimes,0.993092864
1281252,2016-11-26,2016-11-26,N Hollywood,27,F,H,11700    RUNNYMEDE                    ST,34.2058,-118.3878,Assault,Bodily Harm,Violent Crimes,0.998838523
1281309,2016-10-07,2016-10-01,Central,28,M,H,6TH,34.0417,-118.2443,Theft,Property Crime,Non-Violent Crimes,0.992032709
1281337,2016-12-09,2016-12-08,Van Nuys,31,M,W,6500    MURIETTA                     AV,34.1885,-118.4388,Theft,Property Crime,Non-Violent Crimes,0.998167174
1281615,2016-05-06,2016-05-05,Olympic,23,M,O,300 S  ALEXANDRIA                   AV,34.0691,-118.2979,Theft,Property Crime,Non-Violent Crimes,0.998145916
1281708,2016-05-28,2016-05-28,Southeast,27,F,B,104TH                        ST,33.9419,-118.2781,Robbery,Robbery,Violent Crimes,0.994421024
1281914,2016-10-19,2016-10-14,Foothill,37,M,W,9300    LA TUNA CANYON               RD,34.2364,-118.3351,Theft,Property Crime,Non-Violent Crimes,0.997289051
1282072,2016-08-05,2016-08-05,Harbor,64,M,W,1300    STORM                        PY,33.8204,-118.3037,Theft,Property Crime,Non-Violent Crimes,0.999361879
1282577,2016-03-26,2016-03-23,Central,69,M,W,1300 S  HOPE                         ST,34.0395,-118.2656,Theft,Property Crime,Non-Violent Crimes,0.992031384
