ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
743877,12/12/2013,2013-12-11,Southwest,52,F,B,3100    DALTON                       AV,34.0262,-118.304,Theft,Property Crime,Non-Violent Crimes,0.991700415
744011,25/09/2013,2013-09-23,Pacific,32,M,W,3600    CARDIFF                      AV,34.0286,-118.3983,Theft,Property Crime,Non-Violent Crimes,0.999640062
744260,28/08/2013,2013-08-27,Southeast,59,F,B,8800 S  HOOVER                       ST,33.958,-118.2869,Theft,Property Crime,Non-Violent Crimes,0.995620271
744282,06/01/2013,2013-01-06,Olympic,42,F,H,4700    ELMWOOD                      AV,34.0783,-118.3092,Assault,Bodily Harm,Violent Crimes,0.999129575
744366,20/02/2013,2013-02-19,Northeast,48,F,A,5200    LA RODA                      AV,34.1414,-118.2048,Theft,Property Crime,Non-Violent Crimes,0.990858732
744609,03/01/2013,2013-01-02,77th Street,27,F,B,VERMONT                      AV,33.9628,-118.2919,Battery Crime,Bodily Harm,Violent Crimes,0.994406915
744682,10/08/2013,2013-08-09,Van Nuys,24,F,H,14400    BENEFIT                      ST,34.1489,-118.4477,Theft,Property Crime,Non-Violent Crimes,0.998154668
745340,09/09/2013,2013-09-07,N Hollywood,27,F,W,12300    BURBANK                      BL,34.1722,-118.4012,Theft,Property Crime,Non-Violent Crimes,0.995619374
745371,02/11/2013,2013-10-28,Devonshire,39,M,O,21000    PARTHENIA                    ST,34.2282,-118.5907,Theft,Property Crime,Non-Violent Crimes,0.991636988
745455,18/02/2013,2013-02-07,N Hollywood,41,M,O,3800    MOUND VIEW                   AV,34.1393,-118.3949,Theft,Property Crime,Non-Violent Crimes,0.998716418
745701,14/07/2013,2013-07-14,Southwest,43,M,B,JEFFERSON                    AV,34.0256,-118.3201,Assault,Bodily Harm,Violent Crimes,0.994822548
745707,20/07/2013,2013-07-20,Central,18,M,H,HILL                         ST,34.0585,-118.2416,Battery Crime,Bodily Harm,Violent Crimes,0.996305304
745862,16/06/2013,2013-06-16,Hollywood,21,F,B,6200    LA MIRADA                    AV,34.0935,-118.3245,Assault,Bodily Harm,Violent Crimes,0.990172472
746162,29/09/2013,2013-09-29,N Hollywood,23,F,H,12700    BARBARA ANN                  ST,34.2003,-118.4094,Assault,Bodily Harm,Violent Crimes,0.993465119
746235,14/03/2013,2013-03-14,Topanga,47,F,A,8300    MARLA                        AV,34.2203,-118.6449,Theft,Property Crime,Non-Violent Crimes,0.993103851
746239,22/12/2013,2013-12-14,Central,29,M,A,800 N  BROADWAY,34.0623,-118.2383,Theft,Property Crime,Non-Violent Crimes,0.991132531
746892,18/01/2014,2013-01-09,Southwest,48,F,B,4100    2ND                          AV,34.0108,-118.3193,Theft,Property Crime,Non-Violent Crimes,0.997597333
746991,09/09/2013,2013-09-09,Southwest,25,F,B,3800    3RD                          AV,34.0183,-118.3204,Battery Crime,Bodily Harm,Violent Crimes,0.990422812
747120,20/05/2013,2013-05-19,77th Street,49,F,H,400 W  81ST                         ST,33.966,-118.2812,Theft,Property Crime,Non-Violent Crimes,0.993500527
747361,08/04/2013,2013-04-05,Harbor,19,M,H,1100    WILMINGTON                   BL,33.7844,-118.2746,Theft,Property Crime,Non-Violent Crimes,0.998081153
747657,17/08/2013,2013-08-17,Hollywood,25,F,B,7000 W  SUNSET                       BL,34.098,-118.3416,Assault,Bodily Harm,Violent Crimes,0.998193047
747847,18/06/2013,2013-06-17,Wilshire,62,M,B,1800 S  ORANGE GROVE                 AV,34.0431,-118.3681,Theft,Property Crime,Non-Violent Crimes,0.991632639
747910,20/10/2013,2013-10-19,Pacific,34,M,W,LINCOLN                      BL,34.0014,-118.4679,Theft,Property Crime,Non-Violent Crimes,0.991320693
