ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
480038,02/11/2012,02/11/2012,Rampart,14,M,H,12TH                         ST,34.0488,-118.2817,Robbery,Robbery,Violent Crimes,0.9999305
480518,16/03/2012,16/03/2012,Wilshire,48,M,W,300 S  DOHENY                       DR,34.0736,-118.3897,Battery Crime,Bodily Harm,Violent Crimes,0.999793873
482091,29/07/2012,28/07/2012,Southeast,28,M,H,FIGUEROA,33.9601,-118.2827,Theft,Property Crime,Non-Violent Crimes,0.999819776
483070,15/05/2012,08/05/2012,Topanga,83,F,W,21500    ERWIN                        ST,34.1829,-118.5988,Theft,Property Crime,Non-Violent Crimes,0.999401758
483534,17/04/2012,16/04/2012,Southeast,27,M,H,132ND                        ST,33.9123,-118.2916,Robbery,Robbery,Violent Crimes,0.999811274
486852,08/01/2012,08/01/2012,Olympic,56,F,O,3900    WILSHIRE                     BL,34.0617,-118.3115,Theft,Property Crime,Non-Violent Crimes,0.999161654
486978,02/12/2012,02/12/2012,Wilshire,55,F,W,500 S  CURSON                       AV,34.0657,-118.3552,Theft,Property Crime,Non-Violent Crimes,0.999610131
486992,13/11/2012,13/11/2012,Southwest,43,M,H,ARLINGTON,34.0189,-118.3177,Robbery,Robbery,Violent Crimes,0.999117187
488558,25/02/2013,25/12/2012,N Hollywood,53,F,W,3600    FREDONIA                     DR,34.1343,-118.3591,Theft,Property Crime,Non-Violent Crimes,0.999268761
490807,18/09/2012,18/09/2012,Southwest,29,M,B,2900    11TH                         AV,34.0299,-118.3289,Theft,Property Crime,Non-Violent Crimes,0.999091972
495066,11/09/2012,11/09/2012,Central,24,F,H,1000 S  BROADWAY,34.0409,-118.2574,Assault,Bodily Harm,Violent Crimes,0.999461249
495815,28/09/2012,28/09/2012,Rampart,30,M,H,SUNSET                       BL,34.0829,-118.2733,Battery Crime,Bodily Harm,Violent Crimes,0.999247537
496506,27/01/2013,01/10/2012,Van Nuys,48,F,W,6900 N  SEPULVEDA                    BL,34.1958,-118.4662,Theft,Property Crime,Non-Violent Crimes,0.999539569
497077,31/01/2012,02/01/2012,Hollenbeck,29,M,H,4700    CATALPA                      ST,34.064,-118.1826,Theft,Property Crime,Non-Violent Crimes,0.99917007
499139,14/05/2012,12/05/2012,Topanga,41,F,W,6400    PLATT                        AV,34.1866,-118.6428,Fraud,White Collar Crime,Non-Violent Crimes,0.999101407
499434,02/07/2012,02/07/2012,Southwest,29,M,W,MUIRFIELD,34.0111,-118.3477,Robbery,Robbery,Violent Crimes,0.999462469
500228,24/06/2012,23/06/2012,Olympic,17,M,H,HARVARD                      BL,34.04,-118.3057,Robbery,Robbery,Violent Crimes,0.999732761
501263,12/04/2012,12/04/2012,Pacific,58,F,W,CENTINELA,34.0032,-118.4332,Battery Crime,Bodily Harm,Violent Crimes,0.99908371
502244,24/07/2012,24/07/2012,Hollywood,48,M,O,1200 N  ORANGE                       DR,34.0926,-118.3416,Theft,Property Crime,Non-Violent Crimes,0.999691064
502390,12/04/2012,06/04/2012,Central,22,M,H,1500 S  HOPE                         ST,34.0371,-118.2672,Theft,Property Crime,Non-Violent Crimes,0.999959117
502860,03/03/2012,03/03/2012,Southwest,31,M,W,STOCKER,34.008,-118.3351,Robbery,Robbery,Violent Crimes,0.999601842
503854,30/04/2013,28/09/2012,Foothill,28,F,H,11100    NORRIS                       AV,34.2719,-118.4178,Theft,Property Crime,Non-Violent Crimes,0.999933498
505001,27/05/2012,27/05/2012,Foothill,45,F,H,11200    STAGG                        ST,34.2121,-118.3747,Theft,Property Crime,Non-Violent Crimes,0.999988536
506795,15/07/2012,15/07/2012,Hollywood,28,M,H,1700 N  LAS PALMAS                   AV,34.1016,-118.3361,Battery Crime,Bodily Harm,Violent Crimes,0.999262904
508943,26/07/2012,19/07/2012,77th Street,40,M,B,1500 W  82ND                         ST,33.9646,-118.3025,Theft,Property Crime,Non-Violent Crimes,0.999834621
509437,06/06/2012,05/06/2012,Van Nuys,35,M,W,6500    WOODMAN                      AV,34.1886,-118.4312,Theft,Property Crime,Non-Violent Crimes,0.999120436
509680,17/11/2012,17/11/2012,Pacific,61,M,W,VENICE                       BL,33.9941,-118.4529,Theft,Property Crime,Non-Violent Crimes,0.999482377
513488,22/07/2012,22/07/2012,Newton,44,M,H,300 W  43RD                         ST,34.0056,-118.2784,Assault,Bodily Harm,Violent Crimes,0.99922626
513571,06/11/2012,06/11/2012,Southeast,48,M,H,107TH                        ST,33.9393,-118.2541,Theft,Property Crime,Non-Violent Crimes,0.999481324
514090,30/05/2012,29/05/2012,Wilshire,26,F,B,5200    BANGOR                       ST,34.0366,-118.3547,Theft,Property Crime,Non-Violent Crimes,0.99955953
516218,13/02/2012,11/02/2012,Mission,29,F,H,13200    CROWLEY                      ST,34.2299,-118.4197,Theft,Property Crime,Non-Violent Crimes,0.999259828
518741,12/05/2012,12/05/2012,Olympic,21,M,O,3500    WILSHIRE                     BL,34.0618,-118.3004,Theft,Property Crime,Non-Violent Crimes,0.999372347
519599,09/01/2012,09/01/2012,Wilshire,56,M,B,1100    STEARNS                      DR,34.0563,-118.3692,Theft,Property Crime,Non-Violent Crimes,0.999886864
520619,21/09/2012,21/09/2012,Southeast,22,F,B,MAIN                         ST,33.9601,-118.2739,Battery Crime,Bodily Harm,Violent Crimes,0.999158055
523658,14/06/2012,13/06/2012,N Hollywood,33,F,W,3400    OAK GLEN                     DR,34.131,-118.3529,Theft,Property Crime,Non-Violent Crimes,0.999181776
